shortfall_mean,shortfall_p5,shortfall_p25,shortfall_p50,shortfall_p75,shortfall_p95,baseline_total_rev,timeline,n_industries,n_deficit_trap_industries,shortfall_pct_of_rev
318368312704.35297,290408618539.9267,306364643334.60034,317942348427.0926,329886827734.6046,347760122699.4442,16132176638782.0,Slow,19,1,0.01970858338252721
1123991184745.768,1031455955716.6302,1084315650154.7341,1122608260470.2346,1162084318310.2756,1221230804115.254,16132176638782.0,Median,19,11,0.06958814582847223
2308545171815.296,2121367042470.8967,2228019228427.6104,2305687474103.465,2385723443568.9443,2506420919610.9136,16132176638782.0,Fast,19,17,0.1429247599831356
